番号	名称	HP	SAN	速度	斬撃	貫通	打撃	弾丸	パッシブ名	発動条件	常時発動	効果	戦術0名称	戦術0効果	戦術0強化スキル名称	戦術0強化スキル効果	戦術1名称	戦術1効果	戦術1強化スキル名称	戦術1強化スキル効果	戦術2名称	戦術2効果	戦術2強化スキル名称	戦術2強化スキル効果	戦術3名称	戦術3効果	戦術3強化スキル名称	戦術3強化スキル効果	戦術4名称	戦術4効果	戦術4強化スキル名称	戦術4強化スキル効果	固有
1	N社握る者の人格	146	53	4d2	弱点	抵抗	普通	なし	口笛	色欲x3 共鳴	なし	R 開始時、ランダムな味方3 名のSAN を15 回復し、対象がN 社所属なら狂信2 を付与	笑止	回避：色欲<br>2d10：回避成功時、対象へ固定SANダメージ7を与える	なし	なし	深く刺す	貫通：色欲<br>マッチ勝利時：固定SANダメージ3を与える<br>2d8：マッチ勝利的中時、N 社の釘2 を付与<br>2d10：的中時、次のR に出血4 を付与	なし	なし	罪悪を貫く釘	貫通：嫉妬<br>マッチ勝利時：次のR に狂信4 を得る<br>5d2+3<br>2d9+2：的中時、次のR にて麻痺2 と出血3 を付与	なし	なし	握り締める	貫通：色欲<br>2d10：的中時、N 社の釘2 を付与<br>2d10：的中時、N 社の釘3 を付与<br>1d18+5：的中時、対象のN 社の釘が7 以上なら次のR に注視1 を付与	なし	なし	処断	貫通：憂鬱<br>敵討伐時：全ての味方のSAN を10 回復。次のR にて全ての味方に貫通ダメージ量増加2 と打撃ダメージ量増加2 を付与<br>3d8<br>5d4<br>2d12：対象のN社の釘が5以上ならダメージ量+7	なし	なし	[注視] <br>最大1 <br>デバフ[1R] 貫通、打撃属性スキルによる被ダメージが3 増加<br>この効果が付与されたキャラクターを倒したとき、倒したキャラクターのSAN が10 回復する。<br>該当する味方がN 社所属なら次のR に狂信1 を得る
2	N社握らんとする者の人格	166	50	1d7	弱点	普通	抵抗	なし	狂炎	憤怒x2 保有	生存しているN 社狂信者が自分を含めて5 名以上いるならN 社狂信者にダメージ量増加1 と狂信1 を付与	SAN が50％以下の時、スキルd 値-2	やめ・・・	防御：傲慢<br>戦闘開始時：SAN を15 回復<br>2d10	なし	なし	追い立てられた審判	打撃：憂鬱<br>使用時：SAN を7 減少<br>11-1d5<br>11-1d5：的中時、次のR に狂信1 を得て火傷3 を付与	なし	なし	大業を遂行せよ	"打撃：色欲<br>使用時：SAN を7 減少<br>マッチ開始時：対象が機械融和生命体ならスキル威力+2<br>マッチ勝利時：次のR に狂信2 を得る<br>12-1d10：的中時、対象がN 社の釘状態なら麻痺1 を得る<br>12-1d10：的中時、対象がN 社の釘状態なら麻痺1 を得る<br>14-2d7：的中時、対象がN 社の釘状態なら麻痺1 を得る"	なし	なし	判断を止めた執行	打撃：色欲<br>自分に狂信があるならダメージ量+3<br>使用時：SAN を10 減少<br>16-1d15<br>16-1d15：的中時、火傷3 を付与<br>16-1d15：的中時、火傷3 を付与<br>16-1d15：的中時、次のR に出血2 を付与	なし	なし	自滅的浄化	"打撃：憤怒<br>自分に狂信があるならダメージ量+5。対象が機械融和生命体なら追加で+5<br>使用時：SAN を15 減少<br>30-6d5<br>30-6d5：的中時、ダメージ量の半分だけ固定SANダメージを与える（最大25）<br>30-6d5：的中時、対象の出血が5 以上なら火傷7 を付与。<br>敵討伐時、次のR に打撃威力増加1 を得る"	なし	なし	なし
3	開花 E.G.O:壇香梅の人格	154	50	1d5+2	普通	抵抗	弱点	なし	え辛い春風	怠惰x4 保有	SAN が50%の状態で舞台開始。<br>SAN が100％になる時、SAN を25％まで減少させ、開花E.G.O「壇香梅」1 を得る。<br>戦闘中にマッチに3 回敗北する、またはSAN が0 になると全ての開花E.G.O「壇香梅」を失う。<br>混乱復帰時、SAN は25%まで回復する	広域スキル使用時、ダメージ量+3	舞い散る残香	回避：怠惰<br>2d10：回避成功時、沈潜1 を付与しSAN を5 回復	なし	なし	萌え出る蕾	貫通：暴食<br>自分が開花E.G.O「壇香梅」状態ならスキル威力+2<br>使用時：振動4 を得る<br>マッチ勝利時：SAN を15 回復<br>2d8<br>2d7：的中時、次のR に沈潜1 を付与<br>2d5：的中時、次のR に沈潜2 を付与	なし	なし	刹那の花風	打撃：怠惰<br>メインターゲットの沈潜が6 以上ならスキルd 値+1<br>自分が開花E.G.O「壇香梅」状態なら沈潜付与量+1<br>戦闘開始時：自分の振動を6 消費し、広域指定人数2 名増加<br>マッチ勝利時：SAN を10 回復<br>3d5：的中時、次のR に沈潜2 を付与<br>3d5：的中時、次のR に沈潜2 を付与<br>3d5：的中時、次のR に沈潜2 を付与	なし	なし	燦然たる春風	貫通：怠惰<br>使用時：自分以外の自分と同じ速度のキャラクター全員に沈潜6 を付与<br>自分が開花E.G.O「壇香梅」状態なら代わりに自分と同じ速度の敵全員に沈潜6 を付与<br>マッチ勝利時：SAN を10 回復<br>22-2d10：的中時、振動4 を得る	なし	なし	血を宿した香り	貫通：傲慢<br>自分が開花E.G.O「壇香梅」状態ならダメージ量+4<br>マッチ敗北時：SAN を20 減少<br>使用時：振動6 を得る3d6：的中時、沈潜1 を付与<br>3d6：的中時、沈潜1 を付与<br>3d7：的中時、対象の沈潜が6 以上なら[沈潜殺到]<br>自分の振動が10 以上ならダメージ量+5	なし	なし	[開花E.G.O「壇香梅」]<br>最大10<br>中立バフ<br>沈潜状態の敵に与えるダメージ量+1<br>攻撃的中時、沈潜1 を付与<br>スキルを使用する度に数値が1 増加<br>R終了時に壇香梅x5 だけSAN 減少（最大45 減少）
4	双鉤海賊団副船長の人格	149	55	1d6	抵抗	普通	弱点	7	コインの両面	色欲x2 共鳴	出血状態の敵にクリティカル的中時、不当収益1 を得る	クリティカル成功時、次のR にダメージ量増加2 とパワー1 を得る。クリティカル失敗時、次のR にダメージ量減少3 を得る	回避	回避：色欲<br>8d2：回避成功時、呼吸3 を得る	なし	なし	どこ見てるんだ？	斬撃：色欲<br>対象の出血が7 以上ならスキル威力+1<br>使用時：呼吸4 を得る<br>2d8：的中時、呼吸1 を得る。クリティカル的中時、次のR に出血2 を付与<br>2d9：クリティカル的中時、次のR に出血2 を付与	なし	なし	交渉開始	貫通：怠惰<br>対象の出血が7 以上ならスキル威力+1マッチ勝利時：呼吸4 を得る<br>3d6：的中時、ランダムな味方1 名に呼吸2 を付与<br>4d4：的中時、ランダムな味方1 名に呼吸2 を付与	なし	なし	一方的ビジネス	貫通：傲慢<br>対象の出血7 ごとにスキル威力+1（最大2）<br>使用時：呼吸3 を得る<br>クリティカル成功時：自分を除くランダムな味方2 名のSAN を10回復<br>2d10：マッチ勝利的中時、内臓崩壊1 を付与<br>2d10：クリティカル的中時、次のR に出血3 を付与	なし	なし	予定された決裂	貫通：憂鬱対象の出血2 ごとに呼吸1 を得る（最大10）<br>3d7：クリティカル的中時、出血3 を付与<br>8d3：銃撃。的中時、弾丸を1 消費。クリティカルダメージ量+10	なし	なし	[不当収益]<br>最大4<br>バフ<br>銃撃ダイスで弾丸使用時、不当収益を全て消費しダメージの（消費した不当収益の数x25）％だけ固定ダメージを与える。保有弾丸数が0 なら、クリティカル成功時、最後のダイスに「不当収益の数x2 だけ出血を付与」を追加
5	ピークォド号船長の人格	154	53	4d2	普通	抵抗	弱点	なし	ピークォド号の船長	傲慢x4 保有	敵討伐時、ランダムな味方2 名のSAN を10 回復し、過熱されたガス銛1 を得る	R 開始時、全ての味方のSAN を2 回復。<br>ピークォド号所属の味方は代わりにSAN を5 回復	私の周りに立て！	防御：暴食<br>戦闘開始時：両隣の味方に保護2 を付与<br>2d9<br>2d9	なし	なし	火が如き銛	貫通：傲慢<br>対象のデバフの種類の数だけスキル威力+1（最大2）対象の出血の数だけダメージ量+1（最大3）<br>2d7：的中時、火傷1 を付与<br>2d7：的中時、火傷1 を付与<br>2d5：的中時、対象の出血の数だけ火傷を付与	なし	なし	最後まで追跡しろ！	貫通：傲慢<br>戦闘開始時：（最大共鳴数x20）％の確率で後方の味方1 名に援護攻撃1 を付与。最大共鳴数が4 以上なら、援護攻撃を付与した味方に傲慢威力増加1 と傲慢ダメージ量増加2 を付与<br>使用時：呼吸8 を得る<br>4d3<br>4d3：的中時、次のR に出血2 を付与<br>4d4：マッチ勝利的中時、火傷1 を付与	なし	なし	息を吐き出せ！	貫通：嫉妬<br>マッチ勝利時：呼吸4 を得て、対象に獲物の印1 を付与<br>5d4：的中時、ランダムな味方2 名に呼吸8 を付与（ピークォド号所属の味方を優先する）	なし	なし	執念の銛	貫通：憤怒<br>対象の出血5 ごとにスキルd 数+1（最大2）<br>マッチ勝利時：自分以外のランダムな味方1名のSAN を10 減少させ、自分のSAN を20 回復<br>攻撃後：対象が混乱または死亡した場合SAN が最も低い味方2 名に呼吸7 を付与<br>3d4<br>3d4：的中時、次のR に出血2 を付与<br>3d4：的中時、次のR に出血2 を付与<br>3d4：的中時、対象の火傷が10 以上なら[葬炎]	なし	なし	[援護攻撃]<br>最大1<br>バフ<br>[1R] この効果を付与したキャラクターの攻撃終了時、そのキャラクターが攻撃した対象をスキル1 で一方攻撃する。<br>[過熱されたガス銛] <br>最大1<br>バフ<br>[1R] 攻撃的中時に火傷1 を付与。対象の火傷が5 以上なら与えるダメージ量+2<br>[獲物の印]<br>最大1<br>デバフ<br>[1R] ピークォド号所属のキャラクターから受けるダメージ+3
6	エドガー家継承者の人格	132	59	4d2	弱点	抵抗	普通	なし	終わりなき悪夢	憂鬱x3 共鳴	なし	戦闘開始時、自分のSAN5 ごとにダメージ量増加1 と脆弱1 を得る（最大5）。<br>対象の沈潜2 ごとにダメージ量+1（最大5）	貴方も泣きたいのか？	回避：憂鬱<br>使用時：対象の沈潜3 ごとにスキル威力+1（最大3）<br>8d2	なし	なし	セイバースラッシュ	斬撃：嫉妬<br>使用時：対象の沈潜が6 以上ならスキルd 値+2。対象の沈潜3 ごとにマッチ威力+1（最大2）<br>2d8：的中時、沈潜3 を付与	なし	なし	クベール	貫通：憤怒<br>使用時：対象の沈潜が4 以上ならスキルd 値+1<br>3d4+2：的中時、次のR に束縛1 と斬撃脆弱1 を付与<br>3d5+2：的中時、次のR に束縛1 を付与	なし	なし	ルミーズ	斬撃：憂鬱<br>使用時：対象の沈潜が6 以上ならスキル威力+2。対象の沈潜3 ごとにマッチ威力+1（最大2）マッチ勝利時：沈潜2 を付与<br>5d3：的中時、対象の沈潜が5 以上なら次のR にクイック1 を得る<br>5d4：的中時、沈潜3 を付与	なし	なし	悪夢狩り	斬撃：色欲<br>使用時：対象の沈潜3 ごとにマッチ威力+1（最大2）<br>攻撃後：対象が混乱状態なら沈潜3 を付与<br>敵討伐時：ランダムな敵2 名に沈潜3 を付与<br>2d9：的中時、沈潜1 を付与<br>2d9：的中時、沈潜1 を付与<br>2d9：的中時、沈潜1 を付与<br>2d10：的中時、対象の沈潜が10 以上なら、沈潜を10 吸収し、次のR にd 値強化1 とダメージ量増加3 を得る。50％の確率で沈潜を吸収せずにこの効果が発動	なし	なし	なし
7	エドガー家チーフバトラーの人格	155	55	4d2	弱点	抵抗	普通	なし	家事の仕上げ	傲慢x3 共鳴	なし	"バトラーの目印を持つ対象へ攻撃的中時、呼吸1を得て、次のR にクイックを1得る（最大3）<br>バトラーの目印を持つ対象にクリティカル的中時、対象の速度が自分より低ければ、対象との速度差1 ごとにクリティカルダメージ量+1（最大6）"	埃も残さず	回避：色欲<br>8d2：回避成功時、バトラーの目印1 を付与し、呼吸1 を得て、SAN を3 回復	なし	なし	応接道一式 狩り	斬撃：色欲<br>対象の速度が自分より低ければ、対象との速度差2ごとにマッチ威力+1（最大3）<br>使用時：呼吸2 を得る<br>2d8：的中時、呼吸2 を得る<br>2d8：的中時、バトラーの目印2 を付与	なし	なし	応接道第七式 捕捉	斬撃：傲慢<br>メインターゲットの速度が自分より低ければ、対象との速度差2 ごとにマッチ威力+1（最大3）<br>戦闘開始時：自分の呼吸を6 消費して、広域指定人数2 名増加<br>2d10：的中時、呼吸3 を得る<br>2d10：的中時、バトラーの目印2 を付与。クリティカル的中時、バトラーの目印1 を付与	なし	なし	招かざる客の威圧	招かざる客の威圧 斬撃：憂鬱<br>対象の速度が自分より低ければ、対象との速度差2 ごとにマッチ威力+1（最大3）<br>4d4：的中時、脆弱1 を付与<br>3d7：的中時、次のR に束縛2 を付与<br>3d7：的中時、バトラーの目印1 を付与	なし	なし	応接道第二式 瓦解	"斬撃：憤怒<br>対象にバトラーの目印があるならマッチ威力+1<br>対象の速度が自分より低ければ、対象との速度差2 ごとにスキル威力+1（最大2）<br>使用時：呼吸7 を得る<br>8d2：的中時、呼吸5 を得て、次のR に束縛1 を付与。クリティカル的中時、バトラーの目印1 を付与<br>4d5：対象が混乱状態ならクリティカルダメージ量+4。的中時、バトラーの目印2 を付与。<br>敵討伐時、バトラーの目印を持つランダムな対象へ、このスキルを再使用（最大1 回。バトラーの目印がない場合発動しない）"	なし	なし	[バトラーの目印]<br>最大10<br>中立バフ<br>特定スキルが強化。クリティカル攻撃を受けた時、数値1 減少
8	ワザリング・ハイツ チーフバトラーの人格	175	47	2d3+1	普通	弱点	抵抗	なし	奥様の声が・・・！	憂鬱x3 共鳴	なし	マッチ開始時、対象が士気低下状態または混乱状態なら、マッチ威力+1、ダメージ量+3。邸宅の木霊状態の対象へのダメージ量+3。全てのダイスが残っている状態でマッチ勝利時にSAN を7 回復。SAN が最大なら次のR にマッチ威力増加1 を得る	無礼者が・・・！	回避：憂鬱<br>4d6：回避成功時、沈潜1 を付与	なし	なし	ノック	打撃：傲慢<br>使用時：対象の沈潜が6 以上ならスキルd 値+1<br>2d9<br>2d9：的中時、沈潜3 を付与	なし	なし	埃はたき	打撃：憂鬱<br>使用時：対象の沈潜が5 以上ならスキルd 値+1<br>マッチ勝利時：沈潜2 を付与<br>4d4<br>4d4：的中時、沈潜3 を付与<br>4d4：的中時、沈潜2 を付与	なし	なし	一片の埃もなきように！	打撃：憂鬱<br>戦闘開始時：全ての味方に脆弱1 を付与し、SAN を5 回復<br>2d8：的中時、対象の沈潜の数だけ憂鬱ダメージを与え（最大10）、対象の沈潜を半減させる<br>2d10：的中時、対象の沈潜の数だけ憂鬱ダメージを与え（最大10）、対象の沈潜を半減させる<br>2d10：的中時、対象の沈潜の数だけ憂鬱ダメージを与え（最大10）、対象の沈潜を半減させる	なし	なし	奥様の意のままに	打撃：色欲<br>4d4+2<br>4d4+2<br>4d4+3<br>5d4+3：的中時、次のR に邸宅の木霊3 を付与。対象に邸宅の木霊があれば対象の沈潜の数だけ憂鬱ダメージを与える（最大30）	なし	なし	[邸宅の木霊]<br>最大3<br>デバフ<br>自分の精神が邸宅の木霊に変更される。沈潜が付与される時、追加で沈潜を1 得る。R 終了時1 減少
9	ワザリングハイツ・ワイルドハントの人格	150	60	1d6+2	抵抗	普通	弱点	なし	魔王の呼びかけ	嫉妬x5 保有	なし	対象の沈潜3 ごとにダメージ量+1（最大5）<br>戦闘中に味方のHP が0 になる時、棺を2 消費してその味方のHP を1 にし、ワイルドハント1 を付与（1R に2 回）	デュラハンよ…！	マッチ可能斬撃反撃：色欲<br>戦闘開始時：デュラハンがないなら、次のR にデュラハン1 を得る<br>使用時：対象の沈潜が6 以上ならスキル威力+1<br>2d9：的中時、沈潜2 を付与<br>2d9	なし	なし	斬首	斬撃：憤怒<br>使用時：対象の沈潜が6 以上ならスキル威力+1<br>2d10<br>2d10：的中時、沈潜3 を付与	なし	なし	追悼行進	斬撃：嫉妬<br>使用前：自分の棺4 ごとに広域指定人数+1（最大2）。自分にデュラハンがあるならさらに広域指定人数+1<br>使用時：対象の沈潜5 ごとにスキル威力+1（最大3）<br>攻撃後：自分にデュラハンがあればSAN を10 減少<br>2d9<br>2d9：的中時、沈潜2 を付与<br>2d10：的中時、沈潜3 を付与	なし	なし	恨み晴らし	打撃：色欲<br>対象の沈潜が5 以上ならマッチ威力+1<br>使用時：自分の棺5 ごとにマッチ威力+1（最大2）<br>マッチ勝利時：沈潜3 を付与<br>8d2：的中時、沈潜3 を付与<br>8d2：的中時、対象の沈潜の数だけ出血を付与（最大10）	なし	なし	レクイエム	打撃：憂鬱<br>使用前：自分にデュラハンがあるなら、このスキルを「死ぬまで走れ、デュラハンよ」に変更<br>使用時：対象の沈潜3 ごとにスキルd 値-1（最大4）<br>自分の棺1ごとにダメージ量+2（最大12）<br>攻撃後：棺1 を得て、このスキルを捨てる<br>敵討伐時：棺2 を得る<br>18-1d14：的中時、沈潜3 を付与<br>18-1d14：的中時、沈潜3 を付与	死ぬまで走れ、デュラハンよ	"打撃：憂鬱使用前：自分の棺2 ごとに広域指定人数+1（最大4）<br>使用時：SAN を15 減少。対象の沈潜3 ごとにスキルd 値-1（最大6）。自分の棺1 ごとにダメージ量+2（最大12）<br>攻撃後：棺2 を得て、このスキルを捨てる<br>敵討伐時：棺3 を得る<br>R 終了時：デュラハンを除去<br>20-1d15：的中時、沈潜1 を付与<br20-1d15：的中時、沈潜1 を付与<br20-1d15：的中時、沈潜1 を付与<br20-1d15：的中時、対象の沈潜の数だけ憂鬱ダメージを与える<br>敵討伐時、SAN を15 回復。ランダムな敵2 名に対し、倒した対象の沈潜の数2 ごとに沈潜1 を付与（最大8）"	"[棺] <br>最大10<br>バフ<br>R終了時、次のR にて棺3ごとにダメージ量増加1を得る（最大3）<br>棺5ごとにマッチ威力増加1を得る（最大2）<br>[デュラハン]<br>最大3<br>中立バフ<br>ダメージ量+3<br>被ダメージ量+3<br>速度d値+1<br>R終了時、次のRにデュラハン1を得る<br>自分が士気低下状態または混乱状態なら消滅<br>R終了時にデュラハンがあるなら、自分のSAN が（15-棺の数）だけ減少（最低7）<br>[ワイルドハント]<br>最大1<br>中立バフ<br>付与されたRの間、HPが1未満にならない<br>R終了時、最大HPの50％だけHPを回復<br>攻撃により死亡時、ランダムなE.G.O 資源を1 得る<br>付与されたR の次のR 終了時、死亡する"
10	ラ・マンチャランド 理髪師の人格	152	58	4d2	抵抗	普通	弱点	なし	血を宿した鋏/血染めの鋏の刃	色欲x3 共鳴		裁縫対象とマッチする時、マッチ威力+1。<br>戦闘で自分が消費した血餐25 ごとにダメージ量+1（最大5）	礼儀がなってないじゃない！	マッチ可能斬撃反撃：暴食<br>使用時：血染めの鋏の刃の段階に比例し、マッチ威力+1（最大3）<br>5d3：的中時、次のR に出血4 を付与	なし	なし	裁縫	斬撃：暴食<br>与えたダメージの10％だけHP を回復（最大10）<br>使用時：対象の出血が6 以上ならマッチ威力+1<br>2d8：的中時、次のR に出血3 を付与<br>2d6：的中時、（血染めの鋏の刃の段階-1）回このダイスを再使用（最大2）	なし	なし	チョッキン！	斬撃：傲慢<br>与えたダメージの10％だけHP を回復（最大15）<br>使用時：血餐を最大30 消費し、消費した血餐10 ごとに血染めの鋏の刃1 を得て、SAN を2 回復。血餐が消費できない場合、出血3 を得る。<br>2d9：的中時、次のR に出血1 を付与。対象が出血状態なら固定ダメージ4を与える<br>2d10：的中時、次のR に出血1 を付与。対象が出血状態なら固定ダメージ4を与える<br>2d10：破壊不能ダイス。的中時、次のR に出血2 を付与	なし	なし	カットオフ	斬撃：色欲<br>与えたダメージの10％だけHP を回復（最大20）<br>使用時：血餐を最大60 消費し、消費した血餐6 ごとに血染めの鋏の刃1 を得る。血餐が消費できない場合、出血7 を得る<br>2d8+2：的中時、次のR に出血1 を付与<br>2d8+2：的中時、次のR に出血1 を付与<br>5d3+2：的中時、自分の血染めの鋏の刃が10 以上なら次のR に裁縫対象1 を付与	なし	なし	仲良く切ってあげるぅ！	斬撃：憤怒<br>与えたダメージの20％だけHP を回復（最大20）<br>攻撃前：血染めの鋏の刃が10 以上なら、広域指定人数+1。血染の鋏の刃が20 以上なら、代わりに広域指定人数+2<br>使用時：対象の出血が6 以上ならスキル威力とマッチ威力+1<br>攻撃後：増加した広域指定人数1 ごとに血染めの鋏の刃を10 消費<br>敵討伐時：血餐30 を得る<br>2d8：的中時、次のR に出血2 を付与<br>2d9：的中時、次のR に出血2 を付与<br>2d10：的中時、次のR に出血2 を付与<br>2d12：的中時、血染めの鋏の刃が10 以上なら血染めの鋏の刃x2だけ固定ダメージを与える（最大30）、対象の出血を出血-渇きへ[血蓮変換]	なし	なし	[血染めの鋏の刃]<br>最大10<br>バフ<br>-血染めの鋏の刃Ⅰ-<br>R 開始時、ダメージ量増加1、HP 回復量増加2 と脆弱1 を得る<br>特殊スキルに使用される<br>[ラ・マンチャランド 理髪師の人格専用効果]<br>最大値が30 になり、血染めの鋏の刃が10 以上なら、血染めの鋏の刃Ⅱに変換される。 20 以上なら、血染めの鋏の刃Ⅲに変換される。<br>-血染めの鋏の刃Ⅱ-<br>R 開始時、ダメージ量増加2、HP 回復量増加3、脆弱1 を得る<br>特殊スキルに使用される<br>-血染めの鋏の刃Ⅲ-<br>R 開始時、ダメージ量増加3、HP 回復量増加5、脆弱2 を得る<br>特殊スキルに使用される<br>[裁縫対象]<br>最大1<br>デバフ<br>出血2 ごとに受けるダメージが1 増加（最大10）。R 終了時消滅
