名称	分類	最大数	効果
パワー	バフ	10	[1R] パワーの数だけ攻撃スキル威力増加
忍耐	バフ	10	[1R] 忍耐の数だけ守備スキル威力増加
クイック	バフ	10	[1R] 速度がクイックの数だけ増加
保護	バフ	10	[1R] 保護の数だけスキルで受ける HP ダメージが減少
混乱保護	バフ	10	[1R] 混乱保護の数だけスキルで受けるSANダメージが減少
充電	バフ	20	消費時に特定スキルの能力が上昇<br>R 終了時、充電が1減少
呼吸	バフ	99	攻撃前、（呼吸の数x5）%の確率でクリティカル攻撃となり、 スキルの全ダイスのダメージが2増加し、ダイス数x3だけ 呼吸が減少する<br>R 終了時、呼吸が1減少
HP回復量増加	バフ	10	[1R] HP を回復する効果を受けた時、数値だけ回復量が増加す る
SAN 回復量増加	バフ	10	[1R] SAN を回復する効果を受けた時、数値だけ回復量が増加 する
ダメージ量増加	バフ	10	[1R] スキルで与えるダメージ量が数値だけ増加する
E.G.O 資源獲得量増加	バフ	5	[1R] スキル使用時に獲得する大罪資源数が数値だけ増加する
大罪威力増加	バフ	10	[1R] 該当する大罪のスキル威力が数値だけ増加
大罪ダメージ量増加	バフ	10	[1R] 該当する大罪のスキルの、全ダイスのダメージ量が数値 だけ増加
大罪保護	バフ	10	[1R] 該当する大罪のスキルのダイスから受けるダメージが、 数値だけ減少
属性威力増加	バフ	10	[1R] 該当する攻撃属性のスキル威力が数値だけ増加
属性ダメージ量増加	バフ	10	[1R] 該当する攻撃属性のスキルの、全ダイスのダメージ量が 数値だけ増加
属性保護	バフ	10	[1R] 該当する攻撃属性のスキルのダイスから受けるダメージ が、数値だけ減少
d値強化	バフ	10	[1R] スキルの全ダイスのd値が数値だけ増加
呼吸-好餌	バフ	99	攻撃前、（数値x5%の確率でクリティカル攻撃となり、スキルの全ダイスのダメージが2増加し、ダイス数x3だけ呼吸が減少する<br>クリティカル的中時、破裂1を付与し、対象の破裂が5以上ならHPを2回復<br>R終了時、数値が1減少
呼吸-終止符	バフ	99	攻撃前、（数値x5）%の確率でクリティカル攻撃となり、スキルの全ダイスのダメージが2増加し、ダイス数x3だけ呼吸が減少する<br>銃撃ダイスのダメージ量+1<br>銃撃ダイスで攻撃的 中時に呼吸1を得る<br>R終了時、数値が1減少
呼吸-パーテ ィー	バフ	99	攻撃前、（数値x5）%の確率でクリティカル攻撃となり、スキルの全ダイスのダメージが2増加し、ダイス数x3だけ呼吸が減少する<br>クリティカル成功時、対象の沈潜を1回発動<br>R終了時、数値が1減少
